,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-01-01,2016-01-01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,183.58999633789065,184.22000122070312
2016-01-04,2016-01-04,0.0,0.0,0.08333333333333333,12,0.2662169036145012,0.024298817850649305,0.7094842952986559,0.25,0.0,0.75,3,0,9,0.25,180.5599975585937,177.52999877929688
2016-01-05,2016-01-05,1.25,0.0,0.25,8,0.061824507545679766,0.08086952171288428,0.8573059812188148,0.0,0.0,1.0,0,0,8,0.0,177.2899932861328,175.1699981689453
2016-01-06,2016-01-06,0.38461538461538464,0.0,0.6923076923076923,13,0.05726981585702067,0.45102328448914564,0.4917068917017717,0.0,0.46153846153846156,0.5384615384615384,0,6,7,-0.46153846153846156,173.35000610351562,174.30999755859375
2016-01-07,2016-01-07,1.25,0.0,0.25,4,0.24605475831776855,0.05423286510631438,0.6997124049812555,0.25,0.0,0.75,1,0,3,0.25,171.2100067138672,173.6300048828125
2016-01-08,2016-01-08,0.0,0.0,0.0,11,0.15174032273617657,0.019801956262778093,0.8284577171910893,0.09090909090909091,0.0,0.9090909090909091,1,0,10,0.09090909090909091,175.1199951171875,174.88999938964844
2016-01-11,2016-01-11,0.25,0.07142857142857142,0.14285714285714285,28,0.25433399541569607,0.08568128319789789,0.6599847208708525,0.21428571428571427,0.07142857142857142,0.7142857142857143,6,2,20,0.14285714285714285,175.0,175.6300048828125
2016-01-12,2016-01-12,0.14285714285714285,0.0,1.1428571428571428,7,0.11126730404794213,0.025926672055252946,0.8628060391971043,0.0,0.0,1.0,0,0,7,0.0,176.05999755859375,175.32000732421875
2016-01-13,2016-01-13,0.0,0.0,0.0,1,0.0282362010329961,0.0262081809341907,0.9455556273460388,0.0,0.0,1.0,0,0,1,0.0,175.36000061035156,167.99000549316406
2016-01-14,2016-01-14,0.2727272727272727,0.0,0.36363636363636365,11,0.12120978398756543,0.017829527909105428,0.8609606948765841,0.0,0.0,1.0,0,0,11,0.0,168.17999267578125,172.30999755859375
2016-01-15,2016-01-15,0.0,0.0,2.0,1,0.0364058017730712,0.0265095196664333,0.93708473443985,0.0,0.0,1.0,0,0,1,0.0,167.97000122070312,165.0800018310547
2016-01-18,2016-01-18,0.38461538461538464,0.23076923076923078,0.34615384615384615,26,0.23345477542338464,0.14765479820422253,0.618890417739749,0.19230769230769232,0.15384615384615385,0.6538461538461539,5,4,17,0.038461538461538464,166.9199981689453,167.3800048828125
2016-01-19,2016-01-19,0.7,0.1,0.8,10,0.22700302554294466,0.11526943701319396,0.6577275557443499,0.2,0.1,0.7,2,1,7,0.1,166.9199981689453,167.3800048828125
2016-01-20,2016-01-20,0.6666666666666666,0.16666666666666666,0.6666666666666666,6,0.2636109956850608,0.026385830094416904,0.7100031773249308,0.3333333333333333,0.0,0.6666666666666666,2,0,4,0.3333333333333333,166.11000061035156,170.50999450683594
2016-01-21,2016-01-21,0.07692307692307693,0.0,0.0,13,0.1762029078717415,0.014517117578249663,0.8092799828602717,0.0,0.0,1.0,0,0,13,0.0,170.3699951171875,169.4499969482422
2016-01-22,2016-01-22,0.1111111111111111,0.0,0.0,9,0.08112887044747663,0.43011045300712186,0.48876068327162003,0.0,0.6666666666666666,0.3333333333333333,0,6,3,-0.6666666666666666,171.8000030517578,174.72000122070312
2016-01-25,2016-01-25,0.29411764705882354,0.0,0.17647058823529413,17,0.036209562135969854,0.17550586109213967,0.788284577867564,0.0,0.17647058823529413,0.8235294117647058,0,3,14,-0.17647058823529413,174.89999389648438,172.33999633789062
